dpqs, 6600.000000, 86741.000000, 61604.000000, 0.001000
quick, 6600.000000, 112676.000000, 89135.000000, 0.002000
dpqs, 6700.000000, 85226.000000, 56932.000000, 0.001000
quick, 6700.000000, 104480.000000, 73512.000000, 0.001000
dpqs, 6800.000000, 91836.000000, 61003.000000, 0.002000
quick, 6800.000000, 108541.000000, 75768.000000, 0.000000
dpqs, 6900.000000, 89208.000000, 57033.000000, 0.000000
quick, 6900.000000, 106230.000000, 74197.000000, 0.000000
dpqs, 7000.000000, 89744.000000, 60479.000000, 0.000000
quick, 7000.000000, 119285.000000, 84855.000000, 0.000000
dpqs, 7100.000000, 93525.000000, 60851.000000, 0.000000
quick, 7100.000000, 110915.000000, 81744.000000, 0.000000
dpqs, 7200.000000, 92560.000000, 63226.000000, 0.000000
quick, 7200.000000, 120746.000000, 82187.000000, 0.000000
dpqs, 7300.000000, 93633.000000, 62597.000000, 0.000000
quick, 7300.000000, 119820.000000, 93958.000000, 0.000000
dpqs, 7400.000000, 100306.000000, 66141.000000, 0.000000
quick, 7400.000000, 117037.000000, 77537.000000, 0.000000
dpqs, 7500.000000, 95981.000000, 67392.000000, 0.000000
quick, 7500.000000, 116447.000000, 85659.000000, 0.000000
dpqs, 7600.000000, 100955.000000, 64505.000000, 0.000000
quick, 7600.000000, 120105.000000, 90398.000000, 0.000000
dpqs, 7700.000000, 103858.000000, 65445.000000, 0.000000
quick, 7700.000000, 129100.000000, 90873.000000, 0.000000
dpqs, 7800.000000, 102658.000000, 72348.000000, 0.000000
quick, 7800.000000, 130243.000000, 90350.000000, 0.000000
dpqs, 7900.000000, 108094.000000, 79823.000000, 0.016000
quick, 7900.000000, 130904.000000, 87828.000000, 0.002000
dpqs, 8000.000000, 114551.000000, 67814.000000, 0.000000
quick, 8000.000000, 129385.000000, 97608.000000, 0.000000
dpqs, 8100.000000, 113295.000000, 71483.000000, 0.000000
quick, 8100.000000, 135542.000000, 96837.000000, 0.000000
dpqs, 8200.000000, 109695.000000, 75572.000000, 0.000000
quick, 8200.000000, 136038.000000, 98416.000000, 0.000000
dpqs, 8300.000000, 111432.000000, 77145.000000, 0.000000
quick, 8300.000000, 139634.000000, 102236.000000, 0.000000
dpqs, 8400.000000, 112707.000000, 81513.000000, 0.000000
quick, 8400.000000, 145249.000000, 107934.000000, 0.016000
dpqs, 8500.000000, 112992.000000, 86154.000000, 0.000000
quick, 8500.000000, 141883.000000, 103457.000000, 0.000000
dpqs, 8600.000000, 113504.000000, 82120.000000, 0.000000
quick, 8600.000000, 137256.000000, 101074.000000, 0.000000
