S, 1790, 4184, 5702, 5387.169922, 228.276657
R, 1790, 3069, 11613, 5708.000000, 1670.456177
S, 1800, 3873, 5743, 5399.620117, 249.853134
R, 1800, 2679, 11829, 5868.919922, 1712.570801
S, 1810, 3739, 5756, 5421.069824, 328.736908
R, 1810, 2761, 12264, 5375.240234, 1672.961548
S, 1820, 4232, 5772, 5482.819824, 233.621002
R, 1820, 2402, 11169, 5858.669922, 1978.243408
S, 1830, 3744, 5837, 5451.620117, 354.640808
R, 1830, 2716, 12814, 5495.350098, 1811.127686
S, 1840, 4310, 5884, 5511.729980, 248.629486
R, 1840, 2710, 10400, 5722.470215, 1783.504028
S, 1850, 3840, 5860, 5494.490234, 382.973969
R, 1850, 2606, 11626, 5731.830078, 1611.523438
S, 1860, 4338, 5902, 5576.209961, 251.826279
R, 1860, 2647, 10057, 5833.649902, 1712.657837
S, 1870, 4338, 5961, 5627.609863, 266.423035
R, 1870, 2804, 12372, 5616.870117, 1638.648804
S, 1880, 4330, 5940, 5676.509766, 248.589783
R, 1880, 2747, 9772, 5788.649902, 1632.446167
S, 1890, 4384, 5970, 5684.729980, 245.159225
R, 1890, 2814, 11425, 5744.109863, 1857.763672
S, 1900, 5011, 6077, 5744.370117, 163.926682
R, 1900, 2764, 10379, 5957.140137, 1775.759399
S, 1910, 4394, 6081, 5733.750000, 269.144836
R, 1910, 2770, 12944, 6070.060059, 1872.308472
S, 1920, 4339, 6112, 5788.609863, 268.394958
R, 1920, 2417, 10125, 5723.580078, 1601.028076
S, 1930, 4015, 6077, 5773.490234, 344.935516
R, 1930, 1929, 12467, 6072.299805, 1875.241577
S, 1940, 3987, 6150, 5800.220215, 394.346863
R, 1940, 2915, 13038, 5832.310059, 1947.715454
S, 1950, 4011, 6194, 5803.439941, 363.770325
R, 1950, 2805, 12971, 6032.390137, 1762.286377
S, 1960, 4506, 6217, 5919.419922, 213.821869
R, 1960, 2633, 12512, 6078.350098, 2081.925049
S, 1970, 4593, 6303, 5963.290039, 259.275726
R, 1970, 2831, 12420, 6073.080078, 1757.721924
S, 1980, 4363, 6382, 5949.470215, 371.930328
R, 1980, 2530, 10665, 5660.250000, 1793.515503
S, 1990, 4599, 6458, 5998.689941, 315.637421
R, 1990, 2973, 14019, 6227.189941, 1968.426147
S, 2000, 4619, 6459, 5996.870117, 310.491211
R, 2000, 2636, 13255, 6287.100098, 1990.361816
S, 2010, 4658, 6383, 6086.470215, 262.481079
R, 2010, 2656, 10961, 6356.970215, 1954.704468
S, 2020, 4484, 6530, 6061.220215, 352.893066
R, 2020, 2601, 13218, 5964.990234, 1790.791870
S, 2030, 4736, 6547, 6180.439941, 280.160889
R, 2030, 2788, 10487, 6720.669922, 1687.687134
S, 2040, 4740, 6600, 6157.580078, 308.090210
R, 2040, 2906, 13406, 6412.919922, 2093.450195
S, 2050, 4696, 6568, 6204.359863, 278.414581
R, 2050, 2693, 10290, 6373.100098, 1782.400391
S, 2060, 4829, 6586, 6283.759766, 212.215012
R, 2060, 2595, 14347, 6616.509766, 2252.354980
S, 2070, 4819, 6576, 6231.569824, 341.744812
R, 2070, 2667, 12226, 6553.950195, 1919.408447
S, 2080, 4845, 6652, 6275.100098, 349.592285
R, 2080, 2971, 13134, 6306.709961, 1987.404663
S, 2090, 4792, 6656, 6313.669922, 292.472412
R, 2090, 2733, 10861, 6208.240234, 1789.678467
S, 2100, 4857, 6710, 6347.580078, 363.360901
R, 2100, 3418, 14237, 6742.430176, 2156.828125
S, 2110, 4831, 6706, 6392.229980, 334.783325
R, 2110, 2710, 13683, 6288.950195, 2025.267700
S, 2120, 4380, 6770, 6362.950195, 412.442505
R, 2120, 3368, 13487, 6769.049805, 2337.195801
S, 2130, 5034, 6789, 6511.000000, 214.771973
R, 2130, 2876, 12556, 6616.919922, 1927.915649
S, 2140, 4972, 6936, 6492.459961, 290.261353
R, 2140, 3053, 12034, 6417.790039, 1816.942261
S, 2150, 4944, 6839, 6439.810059, 407.610596
R, 2150, 2865, 12993, 6600.560059, 1937.033569
S, 2160, 4775, 6862, 6556.049805, 340.098450
R, 2160, 3388, 11380, 6419.279785, 1787.390015
S, 2170, 5022, 6959, 6524.459961, 411.098785
R, 2170, 2872, 11333, 6751.279785, 2075.325928
S, 2180, 4613, 6981, 6623.330078, 336.634338
R, 2180, 3273, 13446, 7050.009766, 2244.391846
S, 2190, 5072, 6974, 6589.290039, 334.575531
R, 2190, 2937, 12005, 6463.970215, 1859.426025
S, 2200, 6020, 7019, 6684.810059, 198.842850
R, 2200, 3322, 15949, 6932.830078, 2367.570801
S, 2210, 4555, 7006, 6628.089844, 435.785522
R, 2210, 2871, 14350, 6746.189941, 2282.157227
S, 2220, 4925, 7118, 6722.879883, 338.062256
R, 2220, 2219, 13085, 6419.430176, 1981.487427
S, 2230, 5097, 7156, 6737.240234, 394.616302
R, 2230, 2963, 11818, 6491.359863, 2029.711060
S, 2240, 4918, 7168, 6765.410156, 372.125549
R, 2240, 3158, 12826, 6603.819824, 1775.134888
S, 2250, 5382, 7198, 6825.520020, 267.081390
R, 2250, 3435, 14770, 7066.180176, 2228.103516
S, 2260, 5331, 7218, 6859.540039, 259.334625
R, 2260, 2943, 12419, 6516.950195, 1889.672974
S, 2270, 5260, 7200, 6835.729980, 368.200531
R, 2270, 3280, 14578, 7077.859863, 2108.772949
S, 2280, 5378, 7328, 6931.189941, 326.934235
R, 2280, 3386, 13482, 6942.740234, 2176.111572
S, 2290, 4788, 7342, 6944.100098, 342.709534
R, 2290, 3141, 14072, 7010.399902, 2080.180176
S, 2300, 4508, 7337, 6947.419922, 383.588867
R, 2300, 2988, 12342, 6709.669922, 1939.146606
S, 2310, 5113, 7295, 6911.990234, 456.783325
R, 2310, 3720, 14866, 6988.850098, 2113.833008
S, 2320, 5388, 7399, 7067.520020, 300.274506
R, 2320, 3182, 12938, 7018.419922, 1957.572388
S, 2330, 5332, 7413, 7079.979980, 346.218842
R, 2330, 3108, 13538, 7342.830078, 2241.295654
S, 2340, 5035, 7481, 7080.899902, 394.426880
R, 2340, 3043, 21862, 7037.529785, 2828.112305
S, 2350, 5573, 7470, 7179.859863, 295.412170
R, 2350, 3418, 14172, 7468.009766, 2440.369385
S, 2360, 5588, 7502, 7202.060059, 259.374084
R, 2360, 3236, 15791, 7249.359863, 2256.801514
S, 2370, 5746, 7613, 7194.520020, 291.365204
R, 2370, 3386, 13510, 7009.419922, 2231.475830
S, 2380, 5623, 7688, 7246.459961, 317.839630
R, 2380, 3332, 15412, 7672.649902, 2444.285400
S, 2390, 5675, 7619, 7210.299805, 326.148315
R, 2390, 3733, 17513, 7610.390137, 2446.537598
S, 2400, 4971, 7682, 7273.439941, 443.201324
R, 2400, 3522, 13285, 7418.799805, 2175.588623
S, 2410, 5271, 7647, 7305.879883, 321.687958
R, 2410, 3030, 20156, 7586.379883, 2677.738770
S, 2420, 5571, 7786, 7339.649902, 380.803497
R, 2420, 3446, 13824, 7747.299805, 2136.989990
S, 2430, 5674, 7733, 7372.770020, 391.405457
R, 2430, 3515, 14153, 7603.430176, 2139.448975
S, 2440, 5744, 7836, 7423.870117, 308.649445
